date,mvrv,market_cap,price,supply
2016-08-07,1.62732927,9398174944.8298800674789511144,594.73232402104,15802361.10472011
2016-08-08,1.6187062,9350234098.00130271528337176,591.629283869083,15804211.10472
2016-08-09,1.6089797,9292714922.5427292774429784197,587.932138223261,15805761.1047177
2016-08-10,1.61532499,9326018819.41781460107840777935,589.968758328463,15807648.60471745
2016-08-11,1.61439329,9321071960.97226433015783361093,589.585884687317,15809523.60471729
2016-08-12,1.60770275,9284313888.6852376977372362516,587.19164956166,15811386.10471726
2016-08-13,1.60245343,9256602279.37681907541054507957,585.363581648159,15813423.60471723
2016-08-14,1.56450982,9036749863.28509010606998597744,571.387062536528,15815461.10471723
2016-08-15,1.55189891,8961511865.131381387075284378,566.564441320865,15817286.1047172
2016-08-16,1.58343489,9149930417.5124321277650481132,578.414924137931,15818973.6047172
2016-08-17,1.5706748,9075653638.94602700140181359742,573.663744418469,15820511.10471718
2016-08-18,1.56943471,9070420226.49524838700425848679,573.263191992987,15822436.10471717
2016-08-19,1.57097556,9082525897.2223123556691590733,573.958457919345,15824361.10471714
2016-08-20,1.58942926,9207694159.29635534343805837064,581.797070134424,15826298.60471611
2016-08-21,1.5862522,9192974031.1107254649203905584,580.79219257744,15828336.10471611
2016-08-22,1.5971444,9260287128.25507006926662391384,584.971897720631,15830311.10441064
2016-08-23,1.5907111,9224249077.87686836395645410466,582.627747399182,15832148.60441063
2016-08-24,1.58033884,9163192930.24111998159809459684,578.701831677382,15834048.60441062
2016-08-25,1.5702844,9121877486.94625517077125133251,576.033436586791,15835673.60429061
2016-08-26,1.57746065,9167825212.51911414325712299233,578.874653419053,15837323.60429061
2016-08-27,1.55410904,9031484019.23772726726721390167,570.200993746347,15839123.60429061
2016-08-28,1.56720759,9110255563.83992517760733287658,575.105232554062,15841023.60429059
2016-08-29,1.56317394,9084774574.86462844754789345279,573.429267562829,15842886.10429051
2016-08-30,1.56851349,9121861557.01109143589911958848,575.695698421976,15844936.10429048
2016-08-31,1.55808288,9068583846.81071254134415437057,572.272758328463,15846611.10429039
2016-09-01,1.55789624,9068776165.73011998348804555306,572.221702045587,15848361.10429038
2016-09-02,1.57001279,9143179090.84213234340131796832,576.846767387493,15850273.60429024
2016-09-03,1.63244029,9517044202.16175002626697280864,600.374406779661,15851848.60429024
2016-09-04,1.65865731,9679536501.88292281058586901984,610.538913325541,15854086.10429024
2016-09-05,1.64951295,9632847972.86405874113172120954,607.526964172998,15855836.10429023
2016-09-06,1.66267259,9720597611.28267446045623073238,612.995458270017,15857536.10429014
2016-09-07,1.6686166,9764017563.17909098483260540579,615.659819111631,15859436.10428909
2016-09-08,1.70667998,10001305153.76621233323337541076,630.550172004676,15861236.10428901
2016-09-09,1.68507108,9882305092.3230054739179043602,622.977884044418,15863011.1042889
2016-09-10,1.68900378,9911668531.0407777934920650465,624.752640444185,15864948.6042889
2016-09-11,1.64409449,9651049157.89415243516913328946,608.246675920514,15866998.60428889
2016-09-12,1.64235516,9643730238.3137380483057807968,607.70737270602,15869036.10428784
2016-09-13,1.64324029,9660647196.72838362179553467396,608.694296317943,15871098.60428572
2016-09-14,1.64445893,9673243560.6423345493284658847,609.41308766803,15873048.60428549
2016-09-15,1.63757095,9637224394.64155760579798574078,607.070262594974,15874973.60428497
2016-09-16,1.63843679,9649967224.21134906392343431175,607.806438047925,15876711.10428491
2016-09-17,1.63684292,9644457346.26068725466745981684,607.381449678551,15878748.60413484
2016-09-18,1.64735892,9711494483.7649712683476698661,611.533460315605,15880561.10413482
2016-09-19,1.63980889,9670230232.92884209809697282358,608.871306312098,15882223.60403371
2016-09-20,1.63608322,9663444447.73910933520979139978,608.371748626534,15884111.10403367
2016-09-21,1.60558003,9483191383.8936635879520475354,596.945756633548,15886186.10403355
2016-09-22,1.60186568,9462301606.76385025071806577215,595.564716540035,15887948.60403349
2016-09-23,1.61963842,9571587218.91758743874649150606,602.378784921099,15889648.60402794
2016-09-24,1.62065676,9577740940.48880449874549504743,602.687359731151,15891723.60402793
2016-09-25,1.61373559,9546117896.70788861110425162291,600.610054880187,15894036.10402793
2016-09-26,1.62933517,9645324787.8998039067379938345,606.778810637055,15895948.6040279
2016-09-27,1.62414841,9620722203.56429652950266753214,605.151613734658,15898036.10402783
2016-09-28,1.62251024,9614446389.37238203067773654634,604.686494389246,15899886.10392779
2016-09-29,1.62353046,9623733604.422765907452882102,605.202561952075,15901673.60392776
2016-09-30,1.63296882,9683066604.83877501905882750476,608.865840736412,15903448.60392773
2016-10-01,1.64973693,9788324852.83725832228536014486,615.408478842782,15905411.10392773
2016-10-02,1.63963562,9731190837.24090305347854274302,611.748578316774,15907173.60392773
2016-10-03,1.64023485,9745737268.44984688007912319048,612.590347399182,15909061.10392764
2016-10-04,1.63178451,9705857423.93459965572231784524,610.007881355932,15911036.10392757
2016-10-05,1.63673816,9741183302.0766025310026159125,612.147780946815,15913123.6039275
2016-10-06,1.63502177,9736257394.0455546544609986033,611.76086277031,15915136.10392743
2016-10-07,1.65057413,9835157903.19501164113055687812,617.905705143191,15916923.60392732
2016-10-08,1.65345115,9858675006.1100978795180746553,619.301001753361,15919036.1039273
2016-10-09,1.6471487,9824887958.6406119257851066972,617.101041320865,15921036.10392728
2016-10-10,1.64905635,9841514816.56290967614,618.0852,15922586.10392695
2016-10-11,1.71172286,10239043682.01273262699058992492,642.981387258913,15924323.60392684
2016-10-12,1.69165254,10138537354.2689853320236616808,636.59793220339,15926123.60391672
2016-10-13,1.68770306,10121177916.06732823227138347568,635.444095324372,15927723.60391644
2016-10-14,1.69764855,10188237763.53069179005806228369,639.586090298071,15929423.60391639
2016-10-15,1.6909697,10152694136.80977675212362073726,637.283759322034,15931198.60391639
2016-10-16,1.70485941,10243420099.57793416622661157663,642.913042548217,15932823.60391639
2016-10-17,1.69213973,10184264279.61669989031962097738,639.137536469901,15934386.10391538
2016-10-18,1.6808924,10128752915.95371822100579272033,635.576508591467,15936323.60390499
2016-10-19,1.66452177,10035141891.05727793085701595876,629.640708036236,15937886.10389491
