Date,Close,Volumn,Single,RSI,SMA20,SMA21,EMA12,EMA26,EMA_fast,EMA_slow,MACD,SignalLine,BB_Upper,BB_Lower,MFI,OBV,ROC,MACD_tailor,Signalline_tailor,--,OBV 趨勢反轉,DSAM 連續up/down,MACD反轉,RSI突破,EMA12 vs EMA26,BB突破,MFI反轉,OBV vs ROC,MACD vs Signal Line,--,OBV P&L per position,DSAM P&L per position,MACD P&L per position,RSI P&L per position,EMA12 vs EMA26 P/L per position,BB突破 P&L per position,MFI反轉 P&L per position,OBV vs ROC P&L per position,MACD vs Signal Line P&L per position
2025-01-10,92376.275783461,65850881574.7618,Buy,43.18088051327157,96124.63115342704,96199.24082787937,96356.89064886874,96595.96938203996,96357.08414513865,95741.76753146283,-239.07873317121994,27.850792415455118,101172.20030332984,91077.06200352423,47.41684817399234,HOLD,-2.073180448041758,-279.5145341665193,-759.157441649588,,0,Sell,Sell,Hold+,Sell,Hold+,Hold+,0,Hold+,,,-2640.4386264307104,-4575.82308428851,,-4475.871028889698,,,,
2025-01-11,94736.6267420969,63433655716.757,0,50.802120873499305,96001.32124210807,96058.53570526846,96107.61927859615,96458.24029759974,96107.85779655083,95690.90740752092,-350.62101900359266,-47.843569868354436,101058.47314896676,90944.16933524937,45.885961105336236,HOLD,-0.4706566180167981,-127.29894630711351,-500.596300284557,,0,Buy,0,Hold+,0,Hold+,Hold+,0,Hold+,,,,,,,,,,
2025-01-12,94559.5516722421,17836423168.4162,Buy,48.72694924502314,95974.58512828908,95932.66554830493,95869.45503146476,96317.5966957214,95869.72831463214,95633.66080731581,-448.1416642566328,-127.9031887460101,101057.51629667875,90891.65395989941,54.74175623864604,DOWN,0.9567277057718768,-145.2105311055493,-301.5250559798712,,0,Sell,0,Hold+,0,Hold+,Hold+,0,Hold+,,,-177.07506985479267,,,,,,,
2025-01-13,94454.770896388,19608932595.5329,Hold+,51.710333157024664,95965.07813037632,95902.21302200807,95651.81131837604,96179.60959947447,95652.10786370619,95574.00897782286,-527.7982810984249,-207.8822072164931,101059.1798375129,90870.97642323974,51.40080518427809,HOLD,1.9729487071294176,-79.18043485368253,-181.4594913531411,,0,Buy,0,Hold+,0,Hold+,Hold+,0,Hold+,,,,,,,,,,
2025-01-14,94456.3493746993,76328330233.3113,Hold+,54.13834536303151,95753.10989872,95893.2339039155,95467.89409627192,96051.96069393556,95468.20020809693,95517.45540190481,-584.0665976636374,-283.11908530592194,100720.0145262671,90786.20527117289,51.768665615191,UP,1.0143432220456348,263.43545705739234,-117.02376754296294,,0,Sell,0,Hold+,0,Hold+,Hold+,0,Hold+,,,1.5784783113049343,,,,,,,
2025-01-15,96574.0776879919,51241728228.8171,Hold+,56.56967100092173,95614.56607443598,95792.20360297104,95638.07618730576,96090.63602682861,95638.28416450477,95570.92048958082,-452.5598395228444,-317.00723614930644,100306.5957663492,90922.53638252275,62.52030502389672,DOWN,2.32019991351896,620.994919954057,-8.02668123942567,,0,Buy,0,Hold+,Buy,Hold+,Hold+,0,Hold+,,,,,,,,,,
2025-01-16,100313.152398284,57637319739.5433,Hold+,61.31530430402102,95846.30807206748,95838.3082803335,96357.31868130242,96403.41501730679,96357.27889886001,95810.8774241612,-46.09633600436791,-262.8250561203187,100987.89271956388,90704.72342457107,62.97342511702689,UP,3.5734939284711413,812.7512282437674,152.28245126033602,,Buy,Sell,0,Hold+,Hold+,Hold+,Hold+,0,Hold+,,,3739.0747102921014,,,,,,,
2025-01-17,100044.579267763,50150102497.2729,Hold+,56.651031778798526,96131.93967192908,96046.22574805298,96924.5895407579,96673.13088771095,96924.38569559729,96025.10273744745,251.4586530469387,-159.96831428686724,101546.75316327118,90717.12618058699,65.10323620236116,DOWN,1.9985212921253745,755.1505180544482,300.09174443475996,,Hold+,Buy,0,Hold+,Hold+,Hold+,Hold+,0,Hold+,,,,,,,,,,
2025-01-18,104160.693584842,69135117732.0006,Hold+,61.30128692854238,96580.7433785269,96514.2612868297,98037.83631677083,97227.76516157252,98037.32984896313,96436.76363432562,810.0711551983113,34.03957961016846,103050.20122450449,90111.2855325493,57.4920670468078,UP,6.008702192175218,740.3718680305319,424.0447179115664,,Hold+,Sell,Buy,Hold+,Hold+,Hold+,Sell,Buy,Hold+,,,4116.114317079002,,,,,7208.594717092492,,
2025-01-19,104334.615757243,49416447749.1305,Hold+,61.30348376354661,97114.30179040701,96949.975396561,99006.571615305,97754.1985390296,99005.85242165656,96836.39495174524,1252.3730762753985,277.70627894321444,104292.10651357332,89936.4970672407,59.84964788168175,DOWN,6.069284001137779,640.9475267749658,536.3530118944972,,Hold+,Buy,Hold+,Hold+,Hold+,Hold+,Buy,Hold+,Hold+,,,,,,,,,,
