date,buy_frac,quote_vol,taker_buy_quote
2022-05-07,0.4489,1222539413.6400983,548855038.2356379
2022-05-08,0.4465,2498365159.9945807,1115547715.9145274
2022-05-09,0.451,6166367111.275724,2781053306.4725456
2022-05-10,0.4454,5179856929.47993,2307177624.541944
2022-05-11,0.4819,6300295994.553139,3036296142.0982084
2022-05-12,0.4965,5795451310.945579,2877462252.2122283
2022-05-13,0.4991,2956855804.856112,1475641181.96275
2022-05-14,0.5072,1501483453.5008905,761545954.1904565
2022-05-15,0.5225,1401499926.2304175,732332763.6094486
2022-05-16,0.4965,2185567735.682062,1085179422.7219367
2022-05-17,0.5044,1715109131.0802064,865031716.5404288
2022-05-18,0.4939,1762843836.1269379,870623227.207057
2022-05-19,0.5208,2014360135.7852721,1049163442.9020371
2022-05-20,0.5106,1800589029.270878,919467696.618159
2022-05-21,0.5032,616194663.9792111,310046148.8025876
2022-05-22,0.5127,1082530816.01625,555044195.7973803
2022-05-23,0.4774,1914305818.0745187,913813980.9533184
2022-05-24,0.4962,1740257602.3067698,863516681.5129281
2022-05-25,0.4846,1771708175.0718913,858587338.503838
2022-05-26,0.4782,2759055410.397752,1319426335.716236
2022-05-27,0.4793,2626515958.50349,1258912486.7048602
2022-05-28,0.5093,994674257.5679231,506633343.6800464
2022-05-29,0.4983,804777532.6497605,401056725.5655391
2022-05-30,0.4647,2980527582.4674954,1384940691.9669578
2022-05-31,0.4813,1981259117.0115466,953574564.3261106
2022-06-01,0.4606,3171191028.249736,1460767260.6962943
2022-06-02,0.5014,1711652906.191896,858193492.4047692
2022-06-03,0.4917,1615616950.714381,794354787.342094
2022-06-04,0.5065,760874329.4663156,385358236.9157799
2022-06-05,0.508,691201528.1600258,351150600.7844381
2022-06-06,0.497,2149499896.9349375,1068381827.9889435
2022-06-07,0.4963,3347397952.7305903,1661147413.2582464
2022-06-08,0.4768,2087270428.3470392,995180478.2745385
2022-06-09,0.4986,1399839073.774508,697948605.9884633
2022-06-10,0.4658,2255866294.494887,1050877735.8447756
2022-06-11,0.4833,1892007188.0756001,914365117.8340094
2022-06-12,0.4708,2551767136.329585,1201389150.8900456
2022-06-13,0.477,6192246037.404874,2953984191.5180387
2022-06-14,0.4959,4136108699.025428,2051107738.6303785
2022-06-15,0.4902,4249276481.256697,2083014439.1952906
2022-06-16,0.4823,2130037160.0626109,1027305936.8191556
2022-06-17,0.4968,1796575392.5507207,892584106.6574169
2022-06-18,0.492,3726639821.696151,1833514054.8893414
2022-06-19,0.5137,2487561781.535987,1277952917.4081194
2022-06-20,0.4958,2220396381.7426524,1100883996.5003533
2022-06-21,0.5001,2198596137.343284,1099446297.122863
2022-06-22,0.4875,1872204589.2375817,912710764.7302253
2022-06-23,0.514,1710694866.4572449,879244263.2830158
2022-06-24,0.4984,1635129191.170251,815027131.3205568
2022-06-25,0.4908,1093873137.974752,536863288.4627487
2022-06-26,0.4891,1139258367.162915,557192553.7220398
2022-06-27,0.4963,1354369225.8404648,672191483.8106796
2022-06-28,0.478,1321862977.9315486,631852171.7596262
2022-06-29,0.4892,1556549790.008924,761473366.3908588
2022-06-30,0.4843,1808994369.0314438,876020577.3495957
2022-07-01,0.5045,2197016369.9695287,1108492421.9565263
2022-07-02,0.5131,888415536.8730664,455851305.3763755
2022-07-03,0.4966,980255891.3952553,486752875.4369991
2022-07-04,0.5155,1470987695.521582,758241531.9880207
2022-07-05,0.5037,1919950110.1674304,967109793.3844756
2022-07-06,0.5044,1665481948.0096319,840150579.642686
2022-07-07,0.5029,1783224085.7236798,896703207.2104565
2022-07-08,0.5007,8781330156.61243,4396546053.031909
2022-07-09,0.5012,3857190523.4942718,1933132016.304726
2022-07-10,0.4963,4062794310.272034,2016291891.3743694
2022-07-11,0.4863,2813718031.1093426,1368289522.9848232
2022-07-12,0.4852,2754215439.3324776,1336338002.7004988
2022-07-13,0.4955,4096306063.801935,2029863027.178718
2022-07-14,0.5035,3526210098.285044,1775442258.4092436
2022-07-15,0.4979,2984339734.3532705,1485929119.4276447
2022-07-16,0.506,2539616922.7986083,1285100231.9557881
2022-07-17,0.5037,2511251392.5765257,1265042502.4618275
2022-07-18,0.5102,5263396811.539256,2685273104.2955766
2022-07-19,0.5038,5954419902.221928,2999605957.303951
2022-07-20,0.5019,5631801151.220376,2826789486.1693096
2022-07-21,0.503,4232411759.3950253,2128895623.659983
2022-07-22,0.4956,3981394766.228058,1973166657.8835506
2022-07-23,0.5041,2745262660.6777816,1383868861.284547
2022-07-24,0.5043,2610817967.1639385,1316724597.4433148
2022-07-25,0.4881,3954002948.5472584,1930051719.2731922
2022-07-26,0.4913,3738774849.3577113,1836821500.4933043
2022-07-27,0.5051,4614909656.6957855,2330764840.6468673
2022-07-28,0.5007,5511388547.615389,2759524239.0245447
2022-07-29,0.5052,4733780641.305037,2391310897.487863
2022-07-30,0.5017,3634601094.96542,1823456271.8759687
2022-07-31,0.4991,3028386330.644831,1511326027.2234035
2022-08-01,0.4956,3346371889.652122,1658446268.2253966
2022-08-02,0.4943,3631020649.2263794,1794828205.6239038
2022-08-03,0.4959,3385430753.8050184,1678928892.7538445
2022-08-04,0.4917,3537434334.434649,1739248152.8679466
2022-08-05,0.5035,4046435951.354509,2037539950.6820638
2022-08-06,0.4939,1944693656.7065682,960462308.0530334
2022-08-07,0.5034,2051763044.552369,1032885708.1753823
2022-08-08,0.5027,4078052110.543128,2050118384.21205
2022-08-09,0.4931,3347110918.907211,1650310502.5693648
2022-08-10,0.5029,4918825599.489632,2473680340.3238072
2022-08-11,0.5005,6097813762.895935,3051727583.877025
2022-08-12,0.5011,4175834601.8605466,2092464530.2271757
2022-08-13,0.4995,3751417148.252107,1873989924.2022443
2022-08-14,0.4981,3708565144.8980093,1847145729.8789523
2022-08-15,0.496,5894066098.523285,2923411975.7084756
2022-08-16,0.5009,4294907691.6509495,2151240576.2261777
2022-08-17,0.4993,4993659434.236888,2493209361.502229
2022-08-18,0.4985,3375338942.2617874,1682458592.207561
2022-08-19,0.4915,6181759252.730264,3038568050.675256
2022-08-20,0.5019,3871242921.2246804,1943014391.246253
2022-08-21,0.504,3405034922.807078,1716250543.035858
2022-08-22,0.4992,4721412016.903412,2356921868.623943
2022-08-23,0.5037,4299812533.944709,2165911837.12369
2022-08-24,0.4961,3744196823.564854,1857345193.8069582
2022-08-25,0.4976,3672148286.6013737,1827390010.1745017
2022-08-26,0.496,5785149465.09769,2869440464.9916983
2022-08-27,0.4978,3269764074.3564396,1627546028.5246556
2022-08-28,0.498,2781133881.051846,1384969093.7702348
2022-08-29,0.5027,4211334408.9865937,2116902111.2090402
2022-08-30,0.4946,5157974826.609323,2551087936.8586006
2022-08-31,0.5072,5595829094.391042,2838456435.8151093
2022-09-01,0.494,4893158531.781241,2417157339.99022
2022-09-02,0.4985,4946889819.514836,2466027768.598654
2022-09-03,0.4948,2908816275.0102863,1439326777.5857377
2022-09-04,0.5,2883227667.1961923,1441735599.5476143
2022-09-05,0.4978,4404971191.907026,2193009371.5191665
2022-09-06,0.4935,6976809188.41019,3443135959.0188565
2022-09-07,0.4966,5436827909.201311,2700094090.539225
2022-09-08,0.5001,5057217166.675082,2529247772.343829
2022-09-09,0.5081,8929831332.708796,4537141163.990109
2022-09-10,0.5006,6589753118.841131,3298995539.4356637
2022-09-11,0.503,6064643642.71623,3050253458.2835627
2022-09-12,0.5045,8743762682.841719,4411479060.203694
2022-09-13,0.5031,9302239274.39612,4679543994.693207
